names(shortlist),med.mz,med.rt,library annotation,putative annotation
M146.17T59.35,146.1652904243,59.354,spermidine,NA
M129.14T58.57,129.1386719224,58.574,spermidine (fragment),NA
M112.11T57.8,112.1118733157,57.797,spermidine (fragment),NA
M251.16T60.64,251.1603435623,60.64,NA,NA
M212.85T65.02,212.8518670443,65.022,NA,NA
M290.85T64.76,290.8471608689,64.761,NA,NA
M148.06T69.65,148.0604999963,69.648,glutamate,NA
M130.05T69.64,130.0500140923,69.642,glutamate (fragment),NA
M179.06T71.32,179.0550223136,71.319,NA,gluconolactone
M197.07T71.57,197.0656209467,71.5745,NA,NA
M116.07T73.51,116.0706306648,73.5065,NA,proline
M242.08T74.02,242.0786558328,74.021,NA,NA
M324.06T75.32,324.0591384846,75.324,CMP,NA
M301.11T76.88,301.1141237605,76.879,NA,NA
M219.1T77.65,219.0973953845,77.6505,NA,Glu Ala
M325.04T78.94,325.0429250104,78.945,CMP,NA
M428.04T80.88,428.0362987317,80.88,ADP,NA
M162.08T82.05,162.0760544703,82.051,NA,NA
M191.05T84.37,191.0483366937,84.372,NA,NA
M308.06T84.63,308.0636323515,84.63,dCMP,NA
M189.12T85.8,189.1231137368,85.7955,NA,NA
M85.06T86.7,85.0586493647,86.7025,NA,NA
M372.55T88.26,372.5455612327,88.2575,NADP (2+),NA
M348.07T90.34,348.0707034127,90.342,AMP,NA
M136.06T90.6,136.0617054297,90.597,AMP (fragment),NA
M695.13T91.88,695.1330793834,91.883,AMP (2+),NA
M316.16T94.47,316.1621512046,94.474,NA,NA
M338.14T94.98,338.1438975748,94.984,NA,NA
M364.07T97.19,364.0659070563,97.1925,GMP,NA
M299.14T96.54,299.1355480184,96.538,NA,NA
M99.09T97.84,99.0916295762,97.84,NA,NA
M254.09T100.71,254.0882322114,100.713,NA,NA
M110.06T100.45,110.0598807493,100.4465,2-aminophenol,NA
M123.06T103.31,123.0552687118,103.314,nicotinamide,NA
M159.11T102.26,159.1127485829,102.259,NA,NA
M317.14T103.57,317.1448305172,103.5685,NA,NA
M290.13T105.39,290.1344348737,105.385,NA,NA
M332.56T107.48,332.5621125836,107.482,NAD (2+),NA
M664.12T108.26,664.1160775756,108.259,NAD,NA
M542.07T108.52,542.0682404639,108.517,NAD (fragment),NA
M278.57T112.67,278.5724719575,112.675,NA,NA
M137.05T112.16,137.0457422741,112.163,hypoxanthine,NA
M332.08T113.21,332.0752928167,113.206,NA,dAMP
M179.07T114.5,179.0671710644,114.504,NA,NA
M202.18T115.29,202.1798448859,115.291,NA,NA
M190.07T117.36,190.0707521355,117.3635,N-acetylglutamate,NA
M535.19T118.41,535.1876000374,118.411,NA,Glu Glu Glu Glu
M180.05T120.87,180.0512661725,120.871,NA,(iso)xanthopterine
M132.1T122.82,132.1020719476,122.821,leucine / isoleucine / norleucine,NA
M307.08T126.2,307.0837625424,126.197,NA,glutathion disulphide (2+)
M182.08T125.93,182.0812097456,125.933,tyrosine,NA
M613.16T127.23,613.1590522147,127.227,glutathion disulfide,NA
M322.11T131.92,322.1067724096,131.923,NA,NA
M304.06T132.18,304.0595422756,132.179,NA,NA
M323.06T135.83,323.0640903301,135.8315,NA,dTMP
M143.08T138.17,143.0812091238,138.173,NA,NA
M98.98T141.84,98.9838873668,141.841,NA,NA
M182.07T141.05,182.0672115436,141.054,NA,NA
M388.11T146.83,388.1100059701,146.8345,NA,NA
M164.06T147.09,164.056651658,147.091,NA,pterine
M193.07T150.49,193.0682544057,150.488,NA,S-(5'-adenosyl)-homocysteine (2+)
M385.13T151.52,385.1290491997,151.5155,S-(5'-adenosyl)-homocysteine,NA
M250.14T156.21,250.1411549442,156.208,NA,NA
M125.57T156.99,125.5742070085,156.985,NA,NA
M664.23T165.1,664.231125987,165.098,NA,NA
