"id","mz","rt","annotation"
"M146.17T59.35",146.1653,59.35,""
"M129.14T58.57",129.1387,58.57,""
"M112.11T57.8",112.1119,57.8,""
"M251.16T60.64",251.1603,60.64,""
"M212.85T65.02",212.8519,65.02,""
"M290.85T64.76",290.8472,64.76,""
"M148.06T69.65",148.0605,69.65,""
"M130.05T69.64",130.05,69.64,""
"M179.06T71.32",179.055,71.32,""
"M197.07T71.57",197.0656,71.57,""
"M116.07T73.51",116.0706,73.51,""
"M242.08T74.02",242.0787,74.02,""
"M324.06T75.32",324.0591,75.32,""
"M301.11T76.88",301.1141,76.88,""
"M219.1T77.65",219.0974,77.65,""
"M325.04T78.94",325.0429,78.94,""
"M428.04T80.88",428.0363,80.88,""
"M162.08T82.05",162.0761,82.05,""
"M191.05T84.37",191.0483,84.37,""
"M308.06T84.63",308.0636,84.63,""
"M189.12T85.8",189.1231,85.8,""
"M85.06T86.7",85.0586,86.7,""
"M372.55T88.26",372.5456,88.26,""
"M348.07T90.34",348.0707,90.34,""
"M136.06T90.6",136.0617,90.6,""
"M695.13T91.88",695.1331,91.88,""
"M316.16T94.47",316.1622,94.47,""
"M338.14T94.98",338.1439,94.98,""
"M364.07T97.19",364.0659,97.19,""
"M299.14T96.54",299.1355,96.54,""
"M99.09T97.84",99.0916,97.84,""
"M254.09T100.71",254.0882,100.71,""
"M110.06T100.45",110.0599,100.45,""
"M123.06T103.31",123.0553,103.31,""
"M159.11T102.26",159.1127,102.26,""
"M317.14T103.57",317.1448,103.57,""
"M290.13T105.39",290.1344,105.39,""
"M332.56T107.48",332.5621,107.48,""
"M664.12T108.26",664.1161,108.26,""
"M542.07T108.52",542.0682,108.52,""
"M278.57T112.67",278.5725,112.67,""
"M137.05T112.16",137.0457,112.16,""
"M332.08T113.21",332.0753,113.21,""
"M179.07T114.5",179.0672,114.5,""
"M202.18T115.29",202.1798,115.29,""
"M190.07T117.36",190.0708,117.36,""
"M535.19T118.41",535.1876,118.41,""
"M180.05T120.87",180.0513,120.87,""
"M132.1T122.82",132.1021,122.82,""
"M307.08T126.2",307.0838,126.2,""
"M182.08T125.93",182.0812,125.93,""
"M613.16T127.23",613.1591,127.23,""
"M322.11T131.92",322.1068,131.92,""
"M304.06T132.18",304.0595,132.18,""
"M323.06T135.83",323.0641,135.83,""
"M143.08T138.17",143.0812,138.17,""
"M98.98T141.84",98.9839,141.84,""
"M182.07T141.05",182.0672,141.05,""
"M388.11T146.83",388.11,146.83,""
"M164.06T147.09",164.0567,147.09,""
"M193.07T150.49",193.0683,150.49,""
"M385.13T151.52",385.129,151.52,""
"M250.14T156.21",250.1412,156.21,""
"M125.57T156.99",125.5742,156.99,""
"M664.23T165.1",664.2311,165.1,""
"M332.62T165.35",332.62,165.35,""
"M351.59T166.13",351.593,166.13,""
